Date,Open,High,Low,Close,Adj Close,Volume
2024-01-08,835.000000,835.400024,821.000000,822.150024,822.150024,66992
2024-01-09,825.150024,831.750000,819.150024,821.099976,821.099976,58119
2024-01-10,822.950012,831.450012,811.549988,828.799988,828.799988,28260
2024-01-11,834.700012,836.700012,820.299988,821.750000,821.750000,27431
2024-01-12,823.000000,830.150024,820.799988,825.349976,825.349976,173461
2024-01-15,828.450012,830.750000,820.000000,824.849976,824.849976,33608
2024-01-16,828.000000,839.000000,819.900024,832.349976,832.349976,44047
2024-01-17,822.650024,829.450012,810.150024,812.450012,812.450012,65170
2024-01-18,null,null,null,null,null,null
2024-01-19,804.049988,820.049988,804.049988,816.599976,816.599976,162901
2024-01-23,808.200012,815.900024,788.500000,790.549988,790.549988,69631
2024-01-24,791.450012,814.299988,784.049988,812.450012,812.450012,76143
2024-01-25,816.049988,820.799988,792.900024,816.450012,816.450012,4005279
2024-01-29,819.950012,823.750000,803.450012,811.650024,811.650024,88215
2024-01-30,819.650024,829.150024,810.000000,811.599976,811.599976,66768
2024-01-31,811.049988,822.000000,808.500000,818.450012,818.450012,30081
2024-02-01,818.650024,820.549988,800.349976,801.799988,801.799988,31162
2024-02-02,809.450012,825.849976,805.049988,823.799988,823.799988,212446
2024-02-05,824.000000,833.799988,811.000000,814.250000,814.250000,91505
2024-02-06,822.950012,822.950012,805.500000,819.099976,819.099976,21068
2024-02-07,826.950012,843.500000,823.200012,836.450012,836.450012,205820
2024-02-08,843.950012,843.950012,819.000000,822.349976,822.349976,56939
2024-02-09,823.000000,823.000000,800.500000,811.900024,811.900024,191702
2024-02-12,816.950012,819.150024,803.000000,810.400024,810.400024,48665
2024-02-13,811.950012,814.000000,790.799988,813.099976,813.099976,33637
2024-02-14,799.000000,815.500000,796.599976,813.299988,813.299988,47873
2024-02-15,817.000000,820.849976,806.099976,812.150024,812.150024,44220
2024-02-16,813.150024,824.400024,813.150024,820.500000,820.500000,125340
2024-02-19,827.750000,827.750000,814.000000,820.099976,820.099976,47495
2024-02-20,824.049988,824.950012,811.900024,820.599976,820.599976,30243
2024-02-21,823.549988,850.099976,821.750000,828.400024,828.400024,150409
2024-02-22,830.150024,835.049988,820.000000,828.500000,828.500000,66139
2024-02-23,836.250000,836.250000,819.000000,820.950012,820.950012,67901
2024-02-26,826.950012,826.950012,806.349976,808.500000,808.500000,25237
2024-02-27,814.849976,820.599976,806.000000,818.549988,818.549988,37972
2024-02-28,812.200012,821.450012,795.000000,798.200012,798.200012,33266
2024-02-29,800.000000,805.250000,790.250000,800.150024,800.150024,39437
2024-03-01,811.400024,839.500000,806.000000,835.849976,835.849976,335573
2024-03-04,841.450012,841.450012,818.650024,823.250000,823.250000,113825
2024-03-05,826.049988,826.049988,811.250000,819.400024,819.400024,46062
2024-03-06,823.549988,823.549988,800.000000,812.750000,812.750000,126735
2024-03-07,837.950012,844.599976,820.549988,829.750000,829.750000,268196
2024-03-11,830.450012,836.799988,822.650024,829.400024,829.400024,52214
2024-03-12,829.950012,829.950012,815.000000,817.200012,817.200012,22513
2024-03-13,817.849976,820.950012,789.000000,792.049988,792.049988,48102
2024-03-14,792.950012,792.950012,762.000000,785.549988,785.549988,86057
2024-03-15,784.900024,789.900024,775.000000,781.000000,781.000000,156975
2024-03-18,781.400024,808.450012,779.000000,804.250000,804.250000,112185
2024-03-19,803.349976,809.500000,793.500000,801.250000,801.250000,22741
2024-03-20,803.549988,810.099976,789.349976,794.000000,794.000000,33627
2024-03-21,800.250000,819.200012,800.250000,812.700012,812.700012,38837
2024-03-22,811.950012,832.599976,807.000000,826.250000,826.250000,204814
2024-03-26,823.700012,833.849976,818.000000,821.450012,821.450012,53428
2024-03-27,827.950012,832.200012,815.700012,817.799988,817.799988,27142
2024-03-28,827.450012,840.900024,820.200012,831.349976,831.349976,85589
2024-04-01,835.750000,876.099976,835.750000,871.299988,871.299988,382995
2024-04-02,871.000000,881.700012,861.900024,878.849976,878.849976,69777
2024-04-03,879.450012,879.750000,867.000000,868.799988,868.799988,70781
2024-04-04,878.950012,878.950012,853.849976,862.500000,862.500000,39938
2024-04-05,861.000000,863.900024,847.299988,856.500000,856.500000,128153
2024-04-08,861.450012,877.650024,860.349976,876.599976,876.599976,67032
2024-04-09,880.000000,891.500000,871.000000,874.650024,874.650024,128331
2024-04-10,882.849976,888.900024,875.049988,883.799988,883.799988,83258
2024-04-12,883.500000,883.500000,861.650024,866.450012,866.450012,207368
2024-04-15,850.099976,881.700012,850.099976,860.349976,860.349976,85077
2024-04-16,858.500000,863.500000,843.000000,845.400024,845.400024,44268
2024-04-18,845.400024,858.000000,841.250000,844.250000,844.250000,63370
2024-04-19,840.349976,867.450012,833.500000,865.250000,865.250000,216169
2024-04-22,868.099976,870.049988,853.500000,855.099976,855.099976,64001
2024-04-23,861.549988,865.000000,848.500000,851.299988,851.299988,90650
2024-04-24,851.299988,885.900024,850.000000,883.000000,883.000000,136499
2024-04-25,882.000000,909.000000,875.000000,905.500000,905.500000,218909
2024-04-26,913.150024,913.950012,884.549988,886.599976,886.599976,187183
2024-04-29,899.200012,902.450012,886.099976,896.000000,896.000000,67813
2024-04-30,900.000000,900.900024,880.099976,882.599976,882.599976,62232
2024-05-02,882.599976,894.500000,882.599976,890.599976,890.599976,62306
2024-05-03,895.000000,903.500000,866.000000,873.299988,873.299988,180752
2024-05-06,884.900024,893.099976,874.799988,879.950012,879.950012,73120
2024-05-07,879.950012,879.950012,845.900024,856.950012,856.950012,45088
2024-05-08,837.900024,866.700012,837.900024,864.900024,864.900024,42580
2024-05-09,869.500000,869.500000,831.900024,833.400024,833.400024,67658
2024-05-10,834.049988,855.450012,834.049988,853.799988,853.799988,120023
2024-05-13,846.950012,862.849976,830.049988,860.099976,860.099976,77382
